Checker Name,Golden State DeLorme Challenge,,,
Link,https://coord.info/GC1M0M0,,,
State Requirement,California,,,
County Requirement,none,,,
North,South,East,West,Value Ref
42.008330,41.366670,-123.850000,-124.433330,Page 022
42.008330,41.366670,-123.266670,-123.850000,Page 023
42.008330,41.366670,-122.683330,-123.266670,Page 024
42.008330,41.366670,-122.100000,-122.683330,Page 025
42.008330,41.366670,-121.516670,-122.100000,Page 026
42.008330,41.366670,-120.933330,-121.516670,Page 027
42.008330,41.366670,-120.350000,-120.933330,Page 028
42.008330,41.366670,-119.766670,-120.350000,Page 029
41.366670,40.725000,-123.850000,-124.433330,Page 030
41.366670,40.725000,-123.266670,-123.850000,Page 031
41.366670,40.725000,-122.683330,-123.266670,Page 032
41.366670,40.725000,-122.100000,-122.683330,Page 033
41.366670,40.725000,-121.516670,-122.100000,Page 034
41.366670,40.725000,-120.933330,-121.516670,Page 035
41.366670,40.725000,-120.350000,-120.933330,Page 036
41.366670,40.725000,-119.766670,-120.350000,Page 037
40.725000,40.083330,-123.850000,-124.433330,Page 038
40.725000,40.083330,-123.266670,-123.850000,Page 039
40.725000,40.083330,-122.683330,-123.266670,Page 040
40.725000,40.083330,-122.100000,-122.683330,Page 041
40.725000,40.083330,-121.516670,-122.100000,Page 042
40.725000,40.083330,-120.933330,-121.516670,Page 043
40.725000,40.083330,-120.350000,-120.933330,Page 044
40.725000,40.083330,-119.766670,-120.350000,Page 045
40.083330,39.441670,-123.850000,-124.433330,Page 046
40.083330,39.441670,-123.266670,-123.850000,Page 047
40.083330,39.441670,-122.683330,-123.266670,Page 048
40.083330,39.441670,-122.100000,-122.683330,Page 049
40.083330,39.441670,-121.516670,-122.100000,Page 050
40.083330,39.441670,-120.933330,-121.516670,Page 051
40.083330,39.441670,-120.350000,-120.933330,Page 052
40.083330,39.441670,-119.766670,-120.350000,Page 053
39.441670,38.800000,-123.266670,-123.850000,Page 054
39.441670,38.800000,-122.683330,-123.266670,Page 055
39.441670,38.800000,-122.100000,-122.683330,Page 056
39.441670,38.800000,-121.516670,-122.100000,Page 057
39.441670,38.800000,-120.933330,-121.516670,Page 058
39.441670,38.800000,-120.350000,-120.933330,Page 059
39.441670,38.800000,-119.766670,-120.350000,Page 060
38.800000,38.158330,-123.266670,-123.850000,Page 061
38.800000,38.158330,-122.683330,-123.266670,Page 062
38.800000,38.158330,-122.100000,-122.683330,Page 063
38.800000,38.158330,-121.516670,-122.100000,Page 064
38.800000,38.158330,-120.933330,-121.516670,Page 065
38.800000,38.158330,-120.350000,-120.933330,Page 066
38.800000,38.158330,-119.766670,-120.350000,Page 067
38.800000,38.158330,-119.183330,-119.766670,Page 068
38.800000,38.158330,-118.600000,-119.183330,Page 069
38.891670,38.800000,-119.650000,-119.766670,Page 069
38.158330,37.516670,-122.683330,-123.266670,Page 070
38.158330,37.516670,-122.100000,-122.683330,Page 071
38.158330,37.516670,-121.516670,-122.100000,Page 072
38.158330,37.516670,-120.933330,-121.516670,Page 073
38.158330,37.516670,-120.350000,-120.933330,Page 074
38.158330,37.516670,-119.766670,-120.350000,Page 075
38.158330,37.516670,-119.183330,-119.766670,Page 076
38.158330,37.516670,-118.600000,-119.183330,Page 077
38.158330,37.516670,-118.016670,-118.600000,Page 078
37.516670,36.875000,-122.100000,-122.683330,Page 080
37.516670,36.875000,-121.516670,-122.100000,Page 081
37.516670,36.875000,-120.933330,-121.516670,Page 082
37.516670,36.875000,-120.350000,-120.933330,Page 083
37.516670,36.875000,-119.766670,-120.350000,Page 084
37.516670,36.875000,-119.183330,-119.766670,Page 085
37.516670,36.875000,-118.600000,-119.183330,Page 086
37.516670,36.875000,-118.016670,-118.600000,Page 087
37.516670,36.875000,-117.433330,-118.016670,Page 088
37.516670,36.875000,-116.850000,-117.433330,Page 089
36.875000,36.233330,-121.516670,-122.100000,Page 090
36.875000,36.233330,-120.933330,-121.516670,Page 091
36.875000,36.233330,-120.350000,-120.933330,Page 092
36.875000,36.233330,-119.766670,-120.350000,Page 093
36.875000,36.233330,-119.183330,-119.766670,Page 094
36.875000,36.233330,-118.600000,-119.183330,Page 095
36.875000,36.233330,-118.016670,-118.600000,Page 096
36.875000,36.233330,-117.433330,-118.016670,Page 097
36.875000,36.233330,-116.850000,-117.433330,Page 098
36.875000,36.233330,-116.266670,-116.850000,Page 099
36.325000,36.233330,-116.150000,-116.266670,Page 099
36.233330,35.591670,-121.516670,-122.100000,Page 100
36.233330,35.591670,-120.933330,-121.516670,Page 101
36.233330,35.591670,-120.350000,-120.933330,Page 102
36.233330,35.591670,-119.766670,-120.350000,Page 103
36.233330,35.591670,-119.183330,-119.766670,Page 104
36.233330,35.591670,-118.600000,-119.183330,Page 105
36.233330,35.591670,-118.016670,-118.600000,Page 106
36.233330,35.591670,-117.433330,-118.016670,Page 107
36.233330,35.591670,-116.850000,-117.433330,Page 108
36.233330,35.591670,-116.266670,-116.850000,Page 109
36.233330,35.591670,-115.683330,-116.266670,Page 110
36.233330,35.591670,-115.100000,-115.683330,Page 111
35.591670,34.950000,-120.933330,-121.516670,Page 112
35.591670,34.950000,-120.350000,-120.933330,Page 113
35.591670,34.950000,-119.766670,-120.350000,Page 114
35.591670,34.950000,-119.183330,-119.766670,Page 115
35.591670,34.950000,-118.600000,-119.183330,Page 116
35.591670,34.950000,-118.016670,-118.600000,Page 117
35.591670,34.950000,-117.433330,-118.016670,Page 118
35.591670,34.950000,-116.850000,-117.433330,Page 119
35.591670,34.950000,-116.266670,-116.850000,Page 120
35.591670,34.950000,-115.683330,-116.266670,Page 121
35.591670,34.950000,-115.100000,-115.683330,Page 122
35.591670,34.950000,-114.516670,-115.100000,Page 123
34.950000,34.308330,-120.350000,-120.933330,Page 124
34.950000,34.308330,-119.766670,-120.350000,Page 125
34.950000,34.308330,-119.183330,-119.766670,Page 126
34.950000,34.308330,-118.600000,-119.183330,Page 127
34.950000,34.308330,-118.016670,-118.600000,Page 128
34.950000,34.308330,-117.433330,-118.016670,Page 129
34.950000,34.308330,-116.850000,-117.433330,Page 130
34.950000,34.308330,-116.266670,-116.850000,Page 131
34.950000,34.308330,-115.683330,-116.266670,Page 132
34.950000,34.308330,-115.100000,-115.683330,Page 133
34.950000,34.308330,-114.516670,-115.100000,Page 134
34.950000,34.308330,-113.933330,-114.516670,Page 135
34.308330,33.941670,-119.183330,-119.766670,Page 138
34.308330,33.941670,-118.600000,-119.183330,Page 139
33.525000,33.250000,-118.283330,-118.633330,Page 139 Catalina
34.308330,33.666670,-118.016670,-118.600000,Page 140
34.308330,33.666670,-117.433330,-118.016670,Page 141
34.308330,33.666670,-116.850000,-117.433330,Page 142
34.308330,33.666670,-116.266670,-116.850000,Page 143
34.308330,33.666670,-115.683330,-116.266670,Page 144
34.308330,33.666670,-115.100000,-115.683330,Page 145
34.308330,33.666670,-114.516670,-115.100000,Page 146
34.308330,33.666670,-113.933330,-114.516670,Page 147
33.666670,33.025000,-117.433330,-118.016670,Page 148
33.666670,33.025000,-116.850000,-117.433330,Page 149
33.666670,33.025000,-116.266670,-116.850000,Page 150
33.666670,33.025000,-115.683330,-116.266670,Page 151
33.666670,33.025000,-115.100000,-115.683330,Page 152
33.666670,33.025000,-114.516670,-115.100000,Page 153
33.025000,32.383330,-116.850000,-117.433330,Page 154
33.025000,32.383330,-116.266670,-116.850000,Page 155
33.025000,32.383330,-115.683330,-116.266670,Page 156
33.025000,32.383330,-115.100000,-115.683330,Page 157
33.025000,32.383330,-114.516670,-115.100000,Page 158
33.025000,32.383330,-113.933330,-114.516670,Page 159
